id,sentence,sense_keys,glosses,target
d000.s000.t000,"The [TGT] art [TGT] of change-ringing is peculiar to the English , and , like most English peculiarities , unintelligible to the rest of the world .","['art%1:09:00::', 'art%1:06:00::', 'art%1:04:00::', 'art%1:10:00::']","['a superior skill that you can learn by study and practice and observation', 'the products of human creativity; works of art collectively', 'the creation of beautiful or significant things', 'photographs or other visual representations in a printed publication']",[0]
d000.s000.t001,"The art of [TGT] change-ringing [TGT] is peculiar to the English , and , like most English peculiarities , unintelligible to the rest of the world .",['change_ringing%1:04:00::'],['ringing tuned bells in a fixed order that is continually changing'],[0]
d000.s000.t002,"The art of change-ringing is [TGT] peculiar [TGT] to the English , and , like most English peculiarities , unintelligible to the rest of the world .","['peculiar%5:00:00:specific:00', 'peculiar%5:00:00:characteristic:00', 'peculiar%5:00:00:strange:00', 'peculiar%5:00:00:unusual:00']","['unique or specific to a person or thing or category', 'characteristic of one only; distinctive or special; - R.B.Taney', 'beyond or deviating from the usual or expected', 'markedly different from the usual; ; -Virginia Woolf']","[0, 1]"
d000.s000.t003,"The art of change-ringing is peculiar to the [TGT] English [TGT] , and , like most English peculiarities , unintelligible to the rest of the world .","['english%1:09:00::', 'english%1:10:00::', 'english%1:11:00::', 'english%1:18:00::']","['the discipline that studies the English language and literature', 'an Indo-European language belonging to the West Germanic branch; the official language of Britain and the United States and most of the commonwealth countries', '(sports) the spin given to a ball by striking it on one side or releasing it with a sharp twist', 'the people of England']",[3]
d000.s000.t004,"The art of change-ringing is peculiar to the English , and , like [TGT] most [TGT] English peculiarities , unintelligible to the rest of the world .","['most%3:00:01::', 'most%3:00:02::']","[""the superlative of `much' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning the greatest in amount or extent or degree"", ""(superlative of `many' used with count nouns and often preceded by `the') quantifier meaning the greatest in number""]",[1]
d000.s000.t005,"The art of change-ringing is peculiar to the English , and , like most [TGT] English [TGT] peculiarities , unintelligible to the rest of the world .","['english%3:01:00::', 'english%3:01:01::']","['of or relating to or characteristic of England or its culture or people', 'of or relating to the English language']",[0]
d000.s000.t006,"The art of change-ringing is peculiar to the English , and , like most English [TGT] peculiarities [TGT] , unintelligible to the rest of the world .","['peculiarity%1:09:00::', 'peculiarity%1:07:02::', 'peculiarity%1:06:00::']","['an odd or unusual characteristic', 'a distinguishing trait', 'something unusual -- perhaps worthy of collecting']","[1, 0]"
d000.s000.t007,"The art of change-ringing is peculiar to the English , and , like most English peculiarities , [TGT] unintelligible [TGT] to the rest of the world .","['unintelligible%5:00:00:incomprehensible:00', 'unintelligible%3:00:00::']","['not clearly understood or expressed', 'poorly articulated or enunciated, or drowned by noise']",[0]
d000.s000.t008,"The art of change-ringing is peculiar to the English , and , like most English peculiarities , unintelligible to the [TGT] rest [TGT] of the world .","['rest%1:26:00::', 'rest%1:28:00::', 'rest%1:24:00::', 'rest%1:04:00::', 'rest%1:06:00::', 'rest%1:10:00::', 'rest%1:26:01::']","['a state of inaction', 'a pause for relaxation', 'something left after other parts have been taken away', 'freedom from activity (work or strain or responsibility)', 'a support on which things can be put', 'a musical notation indicating a silence of a specified duration', 'euphemisms for death (based on an analogy between lying in a bed and in a tomb)']",[2]
d000.s000.t009,"The art of change-ringing is peculiar to the English , and , like most English peculiarities , unintelligible to the rest of the [TGT] world [TGT] .","['world%1:14:01::', 'world%1:09:01::', 'world%1:17:00::', 'world%1:14:02::', 'world%1:09:00::', 'world%1:17:02::', 'world%1:05:00::', 'world%1:17:01::']","['people in general; especially a distinctive group of people with some shared interest', 'the concerns of this life as distinguished from heaven and the afterlife', 'the 3rd planet from the sun; the planet we live on', 'people in general considered as a whole', 'all of your experiences that determine how things appear to you', 'a part of the earth that can be considered separately', 'all of the living human inhabitants of the earth', 'everything that exists anywhere']",[3]
